Bucket,P_Usage,OP_Usage,MinDateTime,MaxDateTime,Minutes
2022-06-30T08:30:00.000000,0.08670520231213873,0.0,2022-06-30T08:31:00.000000,2022-06-30T08:45:00.000000,15
2022-06-30T08:45:00.000000,0.08670520231213873,0.0,2022-06-30T08:46:00.000000,2022-06-30T09:00:00.000000,15
2022-06-30T09:00:00.000000,0.08670520231213873,0.0,2022-06-30T09:01:00.000000,2022-06-30T09:15:00.000000,15
2022-06-30T09:15:00.000000,0.08670520231213873,0.0,2022-06-30T09:16:00.000000,2022-06-30T09:30:00.000000,15
2022-06-30T09:30:00.000000,0.08670520231213873,0.0,2022-06-30T09:31:00.000000,2022-06-30T09:45:00.000000,15
2022-06-30T09:45:00.000000,0.08670520231213873,0.0,2022-06-30T09:46:00.000000,2022-06-30T10:00:00.000000,15
2022-06-30T10:00:00.000000,0.08670520231213873,0.0,2022-06-30T10:01:00.000000,2022-06-30T10:15:00.000000,15
2022-06-30T10:15:00.000000,0.08670520231213873,0.0,2022-06-30T10:16:00.000000,2022-06-30T10:30:00.000000,15
2022-06-30T10:30:00.000000,0.08670520231213873,0.0,2022-06-30T10:31:00.000000,2022-06-30T10:45:00.000000,15
2022-06-30T10:45:00.000000,0.08670520231213873,0.0,2022-06-30T10:46:00.000000,2022-06-30T11:00:00.000000,15
2022-06-30T11:00:00.000000,0.08766859344894026,0.0,2022-06-30T11:01:00.000000,2022-06-30T11:15:40.000000,15
2022-06-30T11:15:00.000000,0.10115606936416184,0.0,2022-06-30T11:16:40.000000,2022-06-30T11:30:40.000000,15
2022-06-30T11:30:00.000000,0.10115606936416184,0.0,2022-06-30T11:31:40.000000,2022-06-30T11:45:40.000000,15
2022-06-30T11:45:00.000000,0.10115606936416184,0.0,2022-06-30T11:46:40.000000,2022-06-30T12:00:40.000000,15
2022-06-30T12:00:00.000000,0.10115606936416184,0.0,2022-06-30T12:01:40.000000,2022-06-30T12:15:40.000000,15
2022-06-30T12:15:00.000000,0.10115606936416184,0.0,2022-06-30T12:16:40.000000,2022-06-30T12:30:40.000000,15
2022-06-30T12:30:00.000000,0.10115606936416184,0.0,2022-06-30T12:31:40.000000,2022-06-30T12:45:40.000000,15
2022-06-30T12:45:00.000000,0.10115606936416184,0.0,2022-06-30T12:46:40.000000,2022-06-30T13:00:40.000000,15
2022-06-30T13:00:00.000000,0.10115606936416184,0.0,2022-06-30T13:01:40.000000,2022-06-30T13:15:40.000000,15
2022-06-30T13:15:00.000000,0.10115606936416184,0.0,2022-06-30T13:16:40.000000,2022-06-30T13:30:40.000000,15
2022-06-30T13:30:00.000000,0.10115606936416184,0.0,2022-06-30T13:31:40.000000,2022-06-30T13:45:40.000000,15
2022-06-30T13:45:00.000000,0.10115606936416184,0.0,2022-06-30T13:46:40.000000,2022-06-30T14:00:40.000000,15
2022-06-30T14:00:00.000000,0.10115606936416184,0.0,2022-06-30T14:01:40.000000,2022-06-30T14:15:40.000000,15
2022-06-30T14:15:00.000000,0.10115606936416184,0.0,2022-06-30T14:16:40.000000,2022-06-30T14:30:40.000000,15
2022-06-30T14:30:00.000000,0.10115606936416184,0.0,2022-06-30T14:31:40.000000,2022-06-30T14:45:40.000000,15
2022-06-30T14:45:00.000000,0.10115606936416184,0.0,2022-06-30T14:46:40.000000,2022-06-30T15:00:40.000000,15
2022-06-30T15:00:00.000000,0.10115606936416184,0.0,2022-06-30T15:01:40.000000,2022-06-30T15:15:40.000000,15
2022-06-30T15:15:00.000000,0.10115606936416184,0.0,2022-06-30T15:16:40.000000,2022-06-30T15:30:40.000000,15
2022-06-30T15:30:00.000000,0.10115606936416184,0.0,2022-06-30T15:31:40.000000,2022-06-30T15:45:40.000000,15
2022-06-30T15:45:00.000000,0.10115606936416184,0.0,2022-06-30T15:46:40.000000,2022-06-30T16:00:40.000000,15
2022-06-30T16:00:00.000000,0.10115606936416184,0.0,2022-06-30T16:01:40.000000,2022-06-30T16:15:40.000000,15
2022-06-30T16:15:00.000000,0.10115606936416184,0.0,2022-06-30T16:16:40.000000,2022-06-30T16:30:40.000000,15
2022-06-30T16:30:00.000000,0.10115606936416184,0.0,2022-06-30T16:31:40.000000,2022-06-30T16:45:40.000000,15
2022-06-30T16:45:00.000000,0.10115606936416184,0.0,2022-06-30T16:46:40.000000,2022-06-30T17:00:40.000000,15
2022-06-30T17:00:00.000000,0.10115606936416184,0.0,2022-06-30T17:01:40.000000,2022-06-30T17:15:40.000000,15
2022-06-30T17:15:00.000000,0.10115606936416184,0.0,2022-06-30T17:16:40.000000,2022-06-30T17:30:40.000000,15
2022-06-30T17:30:00.000000,0.10115606936416184,0.0,2022-06-30T17:31:40.000000,2022-06-30T17:45:40.000000,15
2022-06-30T17:45:00.000000,0.10115606936416184,0.0,2022-06-30T17:46:40.000000,2022-06-30T18:00:40.000000,15
2022-06-30T18:00:00.000000,0.10115606936416184,0.0,2022-06-30T18:01:40.000000,2022-06-30T18:15:40.000000,15
2022-06-30T18:15:00.000000,0.10115606936416184,0.0,2022-06-30T18:16:40.000000,2022-06-30T18:30:40.000000,15
2022-06-30T18:30:00.000000,0.10115606936416184,0.0,2022-06-30T18:31:40.000000,2022-06-30T18:45:40.000000,15
2022-06-30T18:45:00.000000,0.10115606936416184,0.0,2022-06-30T18:46:40.000000,2022-06-30T19:00:40.000000,15
2022-06-30T19:00:00.000000,0.10115606936416184,0.0,2022-06-30T19:01:40.000000,2022-06-30T19:15:40.000000,15
2022-06-30T19:15:00.000000,0.10115606936416184,0.0,2022-06-30T19:16:40.000000,2022-06-30T19:30:40.000000,15
2022-06-30T19:30:00.000000,0.10115606936416184,0.0,2022-06-30T19:31:40.000000,2022-06-30T19:45:40.000000,15
2022-06-30T19:45:00.000000,0.10115606936416184,0.0,2022-06-30T19:46:40.000000,2022-06-30T20:00:40.000000,15
2022-06-30T20:00:00.000000,0.10115606936416184,0.0,2022-06-30T20:01:40.000000,2022-06-30T20:15:40.000000,15
2022-06-30T20:15:00.000000,0.10115606936416184,0.0,2022-06-30T20:16:40.000000,2022-06-30T20:30:40.000000,15
2022-06-30T20:30:00.000000,0.10115606936416184,0.0,2022-06-30T20:31:40.000000,2022-06-30T20:45:40.000000,15
2022-06-30T20:45:00.000000,0.10115606936416184,0.0,2022-06-30T20:46:40.000000,2022-06-30T21:00:40.000000,15
2022-06-30T21:00:00.000000,0.10115606936416184,0.0,2022-06-30T21:01:40.000000,2022-06-30T21:15:40.000000,15
2022-06-30T21:15:00.000000,0.10115606936416184,0.0,2022-06-30T21:16:40.000000,2022-06-30T21:30:40.000000,15
2022-06-30T21:30:00.000000,0.10115606936416184,0.0,2022-06-30T21:31:40.000000,2022-06-30T21:45:40.000000,15
2022-06-30T21:45:00.000000,0.10115606936416184,0.0,2022-06-30T21:46:40.000000,2022-06-30T22:00:40.000000,15
2022-06-30T22:00:00.000000,0.10115606936416184,0.0,2022-06-30T22:01:40.000000,2022-06-30T22:15:40.000000,15
2022-06-30T22:15:00.000000,0.10115606936416184,0.0,2022-06-30T22:16:40.000000,2022-06-30T22:30:40.000000,15
2022-06-30T22:30:00.000000,0.10115606936416184,0.0,2022-06-30T22:31:40.000000,2022-06-30T22:45:40.000000,15
2022-06-30T22:45:00.000000,0.10115606936416184,0.0,2022-06-30T22:46:40.000000,2022-06-30T23:00:40.000000,15
2022-06-30T23:00:00.000000,0.10115606936416184,0.0,2022-06-30T23:01:40.000000,2022-06-30T23:15:40.000000,15
2022-06-30T23:15:00.000000,0.09441233140655106,0.011904761904761904,2022-06-30T23:16:40.000000,2022-06-30T23:30:40.000000,15
2022-06-30T23:30:00.000000,0.0,0.17857142857142855,2022-06-30T23:31:40.000000,2022-06-30T23:45:40.000000,15
2022-06-30T23:45:00.000000,0.0,0.17857142857142855,2022-06-30T23:46:40.000000,2022-07-01T00:00:40.000000,15
2022-07-01T00:00:00.000000,0.0,0.17857142857142855,2022-07-01T00:01:40.000000,2022-07-01T00:15:40.000000,15
2022-07-01T00:15:00.000000,0.0,0.17857142857142855,2022-07-01T00:16:40.000000,2022-07-01T00:30:40.000000,15
2022-07-01T00:30:00.000000,0.0,0.17857142857142855,2022-07-01T00:31:40.000000,2022-07-01T00:45:40.000000,15
2022-07-01T00:45:00.000000,0.0,0.17857142857142855,2022-07-01T00:46:40.000000,2022-07-01T01:00:40.000000,15
2022-07-01T01:00:00.000000,0.0,0.17857142857142855,2022-07-01T01:01:40.000000,2022-07-01T01:15:40.000000,15
2022-07-01T01:15:00.000000,0.0,0.17857142857142855,2022-07-01T01:16:40.000000,2022-07-01T01:30:40.000000,15
2022-07-01T01:30:00.000000,0.0,0.17857142857142855,2022-07-01T01:31:40.000000,2022-07-01T01:45:40.000000,15
2022-07-01T01:45:00.000000,0.0,0.17857142857142855,2022-07-01T01:46:40.000000,2022-07-01T02:00:40.000000,15
2022-07-01T02:00:00.000000,0.0,0.17857142857142855,2022-07-01T02:01:40.000000,2022-07-01T02:15:40.000000,15
2022-07-01T02:15:00.000000,0.0,0.17857142857142855,2022-07-01T02:16:40.000000,2022-07-01T02:30:40.000000,15
2022-07-01T02:30:00.000000,0.0,0.17857142857142855,2022-07-01T02:31:40.000000,2022-07-01T02:45:40.000000,15
2022-07-01T02:45:00.000000,0.0,0.17857142857142855,2022-07-01T02:46:40.000000,2022-07-01T03:00:40.000000,15
2022-07-01T03:00:00.000000,0.0,0.17857142857142855,2022-07-01T03:01:40.000000,2022-07-01T03:15:40.000000,15
2022-07-01T03:15:00.000000,0.0,0.17857142857142855,2022-07-01T03:16:40.000000,2022-07-01T03:30:40.000000,15
2022-07-01T03:30:00.000000,0.0,0.17857142857142855,2022-07-01T03:31:40.000000,2022-07-01T03:45:40.000000,15
2022-07-01T03:45:00.000000,0.0,0.17857142857142855,2022-07-01T03:46:40.000000,2022-07-01T04:00:40.000000,15
2022-07-01T04:00:00.000000,0.0,0.17857142857142855,2022-07-01T04:01:40.000000,2022-07-01T04:15:40.000000,15
2022-07-01T04:15:00.000000,0.0,0.17857142857142855,2022-07-01T04:16:40.000000,2022-07-01T04:30:40.000000,15
2022-07-01T04:30:00.000000,0.0,0.17857142857142855,2022-07-01T04:31:40.000000,2022-07-01T04:45:40.000000,15
2022-07-01T04:45:00.000000,0.0,0.17857142857142855,2022-07-01T04:46:40.000000,2022-07-01T05:00:40.000000,15
2022-07-01T05:00:00.000000,0.0,0.17857142857142855,2022-07-01T05:01:40.000000,2022-07-01T05:15:40.000000,15
2022-07-01T05:15:00.000000,0.0,0.17857142857142855,2022-07-01T05:16:40.000000,2022-07-01T05:30:40.000000,15
2022-07-01T05:30:00.000000,0.0,0.17857142857142855,2022-07-01T05:31:40.000000,2022-07-01T05:45:40.000000,15
2022-07-01T05:45:00.000000,0.0,0.17857142857142855,2022-07-01T05:46:40.000000,2022-07-01T06:00:40.000000,15
2022-07-01T06:00:00.000000,0.0,0.17857142857142855,2022-07-01T06:01:40.000000,2022-07-01T06:15:40.000000,15
2022-07-01T06:15:00.000000,0.00674373795761079,0.16666666666666666,2022-07-01T06:16:40.000000,2022-07-01T06:30:40.000000,15
2022-07-01T06:30:00.000000,0.10115606936416184,0.0,2022-07-01T06:31:40.000000,2022-07-01T06:45:40.000000,15
2022-07-01T06:45:00.000000,0.10115606936416184,0.0,2022-07-01T06:46:40.000000,2022-07-01T07:00:40.000000,15
2022-07-01T07:00:00.000000,0.10115606936416184,0.0,2022-07-01T07:01:40.000000,2022-07-01T07:15:40.000000,15
2022-07-01T07:15:00.000000,0.10115606936416184,0.0,2022-07-01T07:16:40.000000,2022-07-01T07:30:40.000000,15
2022-07-01T07:30:00.000000,0.10115606936416184,0.0,2022-07-01T07:31:40.000000,2022-07-01T07:45:40.000000,15
2022-07-01T07:45:00.000000,0.10115606936416184,0.0,2022-07-01T07:46:40.000000,2022-07-01T08:00:40.000000,15
2022-07-01T08:00:00.000000,0.10115606936416184,0.0,2022-07-01T08:01:40.000000,2022-07-01T08:15:40.000000,15
2022-07-01T08:15:00.000000,0.10115606936416184,0.0,2022-07-01T08:16:40.000000,2022-07-01T08:30:40.000000,15
2022-07-01T08:30:00.000000,0.10115606936416184,0.0,2022-07-01T08:31:40.000000,2022-07-01T08:45:40.000000,15
2022-07-01T08:45:00.000000,0.10115606936416184,0.0,2022-07-01T08:46:40.000000,2022-07-01T09:00:40.000000,15
2022-07-01T09:00:00.000000,0.10115606936416184,0.0,2022-07-01T09:01:40.000000,2022-07-01T09:15:40.000000,15
2022-07-01T09:15:00.000000,0.10115606936416184,0.0,2022-07-01T09:16:40.000000,2022-07-01T09:30:40.000000,15
2022-07-01T09:30:00.000000,0.10115606936416184,0.0,2022-07-01T09:31:40.000000,2022-07-01T09:45:40.000000,15
2022-07-01T09:45:00.000000,0.10115606936416184,0.0,2022-07-01T09:46:40.000000,2022-07-01T10:00:40.000000,15
2022-07-01T10:00:00.000000,0.10115606936416184,0.0,2022-07-01T10:01:40.000000,2022-07-01T10:15:40.000000,15
2022-07-01T10:15:00.000000,0.10115606936416184,0.0,2022-07-01T10:16:40.000000,2022-07-01T10:30:40.000000,15
2022-07-01T10:30:00.000000,0.10115606936416184,0.0,2022-07-01T10:31:40.000000,2022-07-01T10:45:40.000000,15
2022-07-01T10:45:00.000000,0.10115606936416184,0.0,2022-07-01T10:46:40.000000,2022-07-01T11:00:40.000000,15
2022-07-01T11:00:00.000000,0.10115606936416184,0.0,2022-07-01T11:01:40.000000,2022-07-01T11:15:40.000000,15
2022-07-01T11:15:00.000000,0.10115606936416184,0.0,2022-07-01T11:16:40.000000,2022-07-01T11:30:40.000000,15
2022-07-01T11:30:00.000000,0.09441233140655106,0.0,2022-07-01T11:31:40.000000,2022-07-01T11:45:20.000000,14
2022-07-01T11:45:00.000000,0.10115606936416184,0.0,2022-07-01T11:46:20.000000,2022-07-01T12:00:20.000000,15
2022-07-01T12:00:00.000000,0.10115606936416184,0.0,2022-07-01T12:01:20.000000,2022-07-01T12:15:20.000000,15
2022-07-01T12:15:00.000000,0.10115606936416184,0.0,2022-07-01T12:16:20.000000,2022-07-01T12:30:20.000000,15
2022-07-01T12:30:00.000000,0.10115606936416184,0.0,2022-07-01T12:31:20.000000,2022-07-01T12:45:20.000000,15
2022-07-01T12:45:00.000000,0.10115606936416184,0.0,2022-07-01T12:46:20.000000,2022-07-01T13:00:20.000000,15
2022-07-01T13:00:00.000000,0.10115606936416184,0.0,2022-07-01T13:01:20.000000,2022-07-01T13:15:20.000000,15
2022-07-01T13:15:00.000000,0.10115606936416184,0.0,2022-07-01T13:16:20.000000,2022-07-01T13:30:20.000000,15
2022-07-01T13:30:00.000000,0.10115606936416184,0.0,2022-07-01T13:31:20.000000,2022-07-01T13:45:20.000000,15
2022-07-01T13:45:00.000000,0.10115606936416184,0.0,2022-07-01T13:46:20.000000,2022-07-01T14:00:20.000000,15
2022-07-01T14:00:00.000000,0.10115606936416184,0.0,2022-07-01T14:01:20.000000,2022-07-01T14:15:20.000000,15
2022-07-01T14:15:00.000000,0.10115606936416184,0.0,2022-07-01T14:16:20.000000,2022-07-01T14:30:20.000000,15
2022-07-01T14:30:00.000000,0.10115606936416184,0.0,2022-07-01T14:31:20.000000,2022-07-01T14:45:20.000000,15
2022-07-01T14:45:00.000000,0.10115606936416184,0.0,2022-07-01T14:46:20.000000,2022-07-01T15:00:20.000000,15
2022-07-01T15:00:00.000000,0.10115606936416184,0.0,2022-07-01T15:01:20.000000,2022-07-01T15:15:20.000000,15
2022-07-01T15:15:00.000000,0.10115606936416184,0.0,2022-07-01T15:16:20.000000,2022-07-01T15:30:20.000000,15
2022-07-01T15:30:00.000000,0.10115606936416184,0.0,2022-07-01T15:31:20.000000,2022-07-01T15:45:20.000000,15
2022-07-01T15:45:00.000000,0.10115606936416184,0.0,2022-07-01T15:46:20.000000,2022-07-01T16:00:20.000000,15
2022-07-01T16:00:00.000000,0.10115606936416184,0.0,2022-07-01T16:01:20.000000,2022-07-01T16:15:20.000000,15
2022-07-01T16:15:00.000000,0.10115606936416184,0.0,2022-07-01T16:16:20.000000,2022-07-01T16:30:20.000000,15
2022-07-01T16:30:00.000000,0.10115606936416184,0.0,2022-07-01T16:31:20.000000,2022-07-01T16:45:20.000000,15
2022-07-01T16:45:00.000000,0.10115606936416184,0.0,2022-07-01T16:46:20.000000,2022-07-01T17:00:20.000000,15
2022-07-01T17:00:00.000000,0.10115606936416184,0.0,2022-07-01T17:01:20.000000,2022-07-01T17:15:20.000000,15
2022-07-01T17:15:00.000000,0.10115606936416184,0.0,2022-07-01T17:16:20.000000,2022-07-01T17:30:20.000000,15
2022-07-01T17:30:00.000000,0.10115606936416184,0.0,2022-07-01T17:31:20.000000,2022-07-01T17:45:20.000000,15
